NumID,Player ID,Year,Team,G,W,L,SV,HLD,HP,CG,SHO,PCT,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA
1401,1905134,2018,ORIX,47,5,0,0,8,13,0,0,1,201,49.2,45,5,11,1,45,0,0,14,14,2.54
1402,1905134,2019,ORIX,28,2,2,0,17,19,0,0,0.5,122,26,28,3,15,0,19,0,0,14,14,4.85
1403,1905134,2020,ORIX,24,0,2,0,0,0,0,0,0,87,21,16,5,8,0,24,0,0,10,8,3.43
1404,1905134,2021,ORIX,14,0,0,0,6,6,0,0,0,59,14,15,0,3,1,14,0,0,6,6,3.86
1405,1905134,2023,Lotte,17,2,0,2,6,8,0,0,1,63,16.2,11,1,6,0,18,0,0,2,2,1.08
1406,1905134,2024,Lotte,21,2,1,0,8,10,0,0,0.667,89,20,22,0,8,1,8,0,0,9,8,3.6
1407,1905134,2025,Lotte,5,0,0,0,0,0,0,0,0,24,5.1,6,3,2,0,3,0,0,6,6,10.13
1408,81985133,2011,Yomiuri,29,11,11,0,0,0,5,1,0.5,786,200,149,14,45,5,174,5,3,53,45,2.03
1409,81985133,2012,Yomiuri,27,10,10,0,0,0,2,1,0.5,716,169.2,172,12,54,4,138,2,0,56,54,2.86
1410,81985133,2013,Yomiuri,34,5,10,0,6,7,3,1,0.333,654,158.1,138,18,43,5,148,5,0,58,55,3.13
1411,81985133,2014,Yomiuri,12,5,3,0,0,1,2,1,0.625,299,72.2,69,3,14,2,66,5,0,31,30,3.72
1412,81985133,2015,Yomiuri,60,7,3,36,3,10,0,0,0.7,282,68.1,58,4,21,3,60,2,0,12,10,1.32
1413,81985133,2016,Yomiuri,63,6,4,37,4,10,0,0,0.6,271,64.1,60,5,22,1,55,9,1,20,19,2.66
1414,81985133,2018,Yomiuri,49,1,6,0,24,25,0,0,0.143,238,52.1,55,4,27,3,54,3,0,29,27,4.64
1415,81985133,2019,Yomiuri,43,2,2,1,13,15,0,0,0.5,197,48.1,40,3,17,3,55,1,0,14,14,2.61
1416,81985133,2020,Yomiuri,13,1,1,0,1,2,0,0,0.5,64,13.1,14,1,8,2,11,0,0,9,9,6.08
1417,81985133,2020,Lotte,22,0,2,1,13,13,0,0,0,82,21,10,2,10,0,29,3,0,4,4,1.71
1418,81985133,2023,Lotte,34,4,3,3,14,18,0,0,0.571,148,33,33,6,18,1,24,0,1,18,18,4.91
1419,81985133,2024,Lotte,39,1,2,1,15,16,0,0,0.333,146,35,24,3,19,2,26,3,0,13,13,3.34
1420,81985133,2025,Lotte,6,0,0,0,0,0,0,0,0,27,6,4,0,5,0,4,1,0,2,2,3
1421,91995159,2024,SoftBank,11,2,1,0,0,2,0,0,0.667,42,10.2,7,0,4,1,9,1,0,4,4,3.38
1422,41945138,2024,Rakuten,3,0,0,0,0,0,0,0,0,16,3,4,0,3,0,1,1,0,4,4,12
1423,81985155,2022,Yakult,1,0,0,0,0,0,0,0,0,10,1,5,0,1,0,2,1,0,5,1,9
1424,81985155,2024,Yakult,1,0,0,0,0,0,0,0,0,8,2,1,0,2,0,2,0,0,1,1,4.5
1425,51055133,2015,Hanshin,18,0,0,0,1,1,0,0,0,93,18.1,31,6,8,1,12,0,0,19,18,8.84
1426,51055133,2016,Hanshin,23,1,0,0,2,3,0,0,1,105,24.2,23,2,10,0,24,1,0,10,10,3.65
1427,51055133,2018,Hanshin,1,0,0,0,0,0,0,0,0,8,2,2,0,2,0,2,2,0,2,2,9
1428,51055133,2019,Hanshin,63,4,0,1,11,15,0,0,1,229,59.1,42,4,14,4,60,0,0,13,11,1.67
1429,51055133,2022,Hanshin,15,0,0,0,2,2,0,0,0,56,14,12,1,2,0,11,0,0,4,4,2.57
1430,51055133,2023,Hanshin,35,4,2,0,15,19,0,0,0.667,100,26.2,19,0,3,1,20,0,0,6,5,1.69
1431,51055133,2024,Hanshin,33,2,1,0,6,8,0,0,0.667,113,25.2,27,1,10,1,10,1,0,9,8,2.81
1432,51055133,2025,Hanshin,8,1,0,0,1,2,0,0,1,29,7.2,6,0,1,1,5,0,0,1,1,1.17
1433,31935138,2019,Hiroshima,25,0,0,0,0,0,0,0,0,127,28.2,19,1,19,2,33,1,0,15,14,4.4
1434,31935138,2020,Hiroshima,38,1,0,0,4,5,0,0,1,166,37.2,29,1,28,1,48,1,0,23,19,4.54
1435,31935138,2021,Hiroshima,51,0,2,0,15,15,0,0,0,205,49,44,4,14,0,51,2,0,20,17,3.12
1436,31935138,2022,Hiroshima,22,0,3,0,7,7,0,0,0,91,19,21,2,11,1,20,2,0,13,8,3.79
1437,31935138,2023,Hiroshima,62,3,3,2,39,42,0,0,0.5,235,58.1,50,3,17,0,64,4,1,17,15,2.31
1438,31935138,2024,Hiroshima,58,11,6,0,24,35,0,0,0.647,238,55.1,43,2,27,2,53,4,0,20,17,2.77
1439,31935138,2025,Hiroshima,21,1,0,0,10,11,0,0,1,75,19,12,0,6,0,16,1,0,3,1,0.47
1440,51955138,2019,Yakult,11,0,3,0,0,0,0,0,0,124,26,33,7,13,0,24,0,0,25,21,7.27
1441,51955138,2020,Yakult,52,0,4,0,30,30,0,0,0,221,53.1,45,10,16,1,58,2,0,23,21,3.54
1442,51955138,2021,Yakult,72,3,6,1,50,53,0,0,0.333,272,67.2,55,12,18,2,74,2,1,23,18,2.39
1443,51955138,2022,Yakult,50,5,4,0,28,33,0,0,0.556,173,46.2,23,1,14,1,43,0,0,6,6,1.16
1444,51955138,2023,Yakult,56,1,8,0,38,39,0,0,0.111,220,54.1,50,6,6,2,47,1,0,20,18,2.98
1445,51955138,2024,Yakult,17,0,3,2,2,2,0,0,0,81,17.1,24,1,4,0,8,0,0,14,14,7.27
1446,51955138,2025,Yakult,10,0,1,0,4,4,0,0,0,45,10.2,12,1,3,0,6,0,0,5,5,4.22
1447,1905136,2018,Chunichi,2,0,0,0,0,0,0,0,0,10,2,3,0,2,0,2,0,0,2,2,9
1448,1905136,2019,Chunichi,8,2,2,0,0,0,0,0,0.5,169,35.1,40,5,24,2,24,3,0,22,17,4.33
1449,1905136,2020,Chunichi,6,1,1,0,0,0,0,0,0.5,92,21.1,15,3,15,0,21,1,0,9,8,3.38
1450,1905136,2021,Chunichi,1,0,1,0,0,0,0,0,0,19,4,5,0,4,0,1,0,0,1,1,2.25
1451,1905136,2022,Chunichi,54,3,3,1,32,35,0,0,0.5,194,50.1,28,1,17,1,51,2,0,17,17,3.04
1452,1905136,2023,Chunichi,50,3,3,0,25,28,0,0,0.5,198,46.2,34,3,30,1,54,4,0,16,16,3.09
1453,1905136,2024,Chunichi,60,3,1,1,36,39,0,0,0.75,229,58,41,1,18,1,52,5,0,12,9,1.4
1454,1905136,2025,Chunichi,22,4,0,0,14,18,0,0,1,91,21.2,18,0,10,1,16,2,0,3,3,1.25
1455,77575159,2025,Yakult,1,0,0,0,0,0,0,0,0,15,4,3,1,0,0,0,0,0,2,2,4.5
1456,41045150,2025,DeNA,2,0,0,0,1,1,0,0,0,10,1.1,2,0,3,1,0,0,0,4,4,27
1457,11015155,2023,Yomiuri,13,0,0,0,0,0,0,0,0,76,16.2,23,2,6,2,15,0,0,10,10,5.4
1458,21925157,2023,Rakuten,19,5,3,0,0,0,0,0,0.625,460,109.2,90,6,48,5,93,3,0,43,41,3.36
1459,21925157,2024,Rakuten,7,1,4,0,0,0,0,0,0.2,136,29.2,32,4,18,0,26,4,0,26,23,6.98
1460,21925157,2025,Rakuten,3,1,0,0,0,0,0,0,1,64,15.2,13,1,5,1,13,0,0,4,4,2.3
1461,91295150,2025,Yakult,11,0,0,0,5,5,0,0,0,46,12,6,0,3,2,17,0,0,0,0,0
1462,91995139,2014,Chunichi,54,0,3,0,11,11,0,0,0,240,58.2,52,6,19,1,36,3,0,25,23,3.53
1463,91995139,2015,Chunichi,33,0,2,1,2,2,0,0,0,144,33.1,32,1,7,2,28,2,0,10,10,2.7
1464,91995139,2016,Chunichi,46,0,4,0,12,12,0,0,0,177,43,32,3,18,2,31,1,0,18,15,3.14
1465,91995139,2017,Chunichi,35,2,2,1,9,11,0,0,0.5,173,42,38,1,17,0,26,0,0,12,12,2.57
1466,91995139,2018,Chunichi,51,2,2,0,17,19,0,0,0.5,208,48.2,45,5,19,0,36,0,0,19,17,3.14
1467,91995139,2019,Chunichi,44,3,4,1,3,6,0,0,0.429,187,46.1,42,3,14,1,27,2,0,16,16,3.11
1468,91995139,2020,Chunichi,54,2,0,3,28,30,0,0,1,195,50.1,42,1,7,0,35,2,0,10,10,1.79
1469,91995139,2021,Chunichi,55,1,2,5,19,20,0,0,0.333,208,48.2,59,1,9,1,30,0,0,18,14,2.59
1470,91995139,2022,Chunichi,46,4,3,1,17,21,0,0,0.571,179,42.2,42,3,13,1,32,1,0,21,18,3.8
1471,91995139,2023,Chunichi,45,3,5,0,13,16,0,0,0.375,168,40.1,39,4,8,1,35,0,0,16,16,3.57
1472,91995139,2024,Chunichi,28,0,0,0,4,4,0,0,0,116,28.1,26,4,6,0,15,1,0,13,9,2.86
1473,91995139,2025,Chunichi,8,0,0,0,1,1,0,0,0,44,9.1,15,0,4,1,3,0,0,5,5,4.82
1474,81985157,2023,ORIX,10,1,2,0,0,0,0,0,0.333,138,32.2,33,0,15,1,27,2,0,16,14,3.86
1475,81985157,2024,ORIX,20,7,11,0,0,0,0,0,0.389,490,119,112,4,27,1,117,1,0,37,31,2.34
1476,81985157,2025,ORIX,9,4,2,0,0,0,1,0,0.667,230,56,48,4,16,2,45,1,0,19,16,2.57
1477,53755138,2021,SoftBank,11,0,2,0,1,1,0,0,0,112,23.2,21,0,21,1,36,4,0,18,16,6.08
1478,53755138,2023,SoftBank,14,3,6,0,0,0,0,0,0.333,344,77.1,70,7,42,1,67,3,0,31,29,3.38
1479,53755138,2024,SoftBank,20,9,4,0,0,0,0,0,0.692,485,120,79,6,51,5,105,2,0,29,26,1.95
1480,71075155,2024,Seibu,8,1,2,0,1,1,0,0,0.333,108,24,26,4,10,0,22,0,0,14,14,5.25
1481,71075155,2025,Seibu,6,4,2,0,0,0,0,0,0.667,128,31,19,1,19,0,26,0,0,7,7,2.03
1482,61765139,2014,Yakult,4,2,2,0,0,0,0,0,0.5,92,23,23,5,2,1,28,0,0,9,9,3.52
1483,61765139,2015,Yakult,7,1,3,0,0,0,0,0,0.25,164,37,35,2,21,0,25,1,0,12,12,2.92
1484,61765139,2016,Yakult,17,3,2,0,0,0,0,0,0.6,252,51.2,75,6,25,1,45,2,0,43,41,7.14
1485,61765139,2017,Yakult,5,0,1,0,0,0,0,0,0,18,4.2,3,2,1,0,9,0,0,2,2,3.86
1486,61765139,2018,Nippon-Ham,3,2,0,0,0,0,0,0,1,47,12.2,6,1,3,1,11,0,0,4,4,2.84
1487,61765139,2019,Nippon-Ham,14,4,4,0,0,0,0,0,0.5,252,65,52,7,13,2,50,1,0,30,27,3.74
1488,61765139,2020,Nippon-Ham,17,7,5,1,0,1,0,0,0.583,319,74.2,59,6,37,1,68,2,0,29,26,3.13
1489,61765139,2021,Nippon-Ham,56,3,3,28,1,4,0,0,0.5,221,54.2,34,9,24,1,69,4,0,18,18,2.96
1490,61765139,2022,Nippon-Ham,16,3,6,0,0,0,0,0,0.333,184,42.2,45,5,10,2,48,3,0,25,25,5.27
1491,61765139,2023,Nippon-Ham,24,0,1,0,0,0,0,0,0,99,22.2,22,4,10,2,22,1,0,9,7,2.78
1492,61765139,2024,Nippon-Ham,40,2,0,3,15,17,0,0,1,137,34.2,24,1,12,1,23,4,0,8,6,1.56
1493,61765139,2025,Nippon-Ham,8,1,1,0,0,1,0,0,0.5,28,6.1,8,3,2,0,6,0,0,5,4,5.68
1494,91095159,2024,Seibu,1,0,1,0,0,0,0,0,0,17,3,5,0,0,1,2,1,0,6,0,0
1495,91995138,2019,SoftBank,2,0,0,0,0,0,0,0,0,21,4,5,0,5,0,4,1,0,4,4,9
1496,91995138,2020,SoftBank,11,0,0,0,1,1,0,0,0,69,16.2,15,1,6,0,22,1,0,5,4,2.16
1497,91995138,2021,SoftBank,15,2,2,0,1,3,0,0,0.5,117,25.1,13,1,31,2,29,1,0,9,9,3.2
1498,91995138,2022,SoftBank,10,1,3,0,0,0,0,0,0.25,194,42.1,45,10,26,1,37,4,0,33,32,6.8
1499,91995138,2024,SoftBank,50,4,0,1,14,18,0,0,1,198,50.1,28,2,22,1,61,1,0,10,9,1.61
1500,91995138,2025,SoftBank,24,1,2,1,9,10,0,0,0.333,98,23.2,21,2,7,0,35,3,0,6,4,1.52
1501,21025155,2022,Seibu,16,1,10,0,0,0,0,0,0.091,357,81.2,90,4,30,1,73,4,0,38,34,3.75
1502,21025155,2023,Seibu,22,9,10,0,0,0,2,1,0.474,554,131,123,11,41,7,128,2,0,52,50,3.44
1503,21025155,2024,Seibu,26,9,10,0,0,0,2,1,0.474,719,179.1,161,11,35,3,154,5,0,56,55,2.76
1504,21025155,2025,Seibu,8,6,2,0,0,0,2,1,0.75,227,60.1,43,2,9,0,53,0,0,8,8,1.19
1505,83785159,2025,Nippon-Ham,5,0,0,1,3,3,0,0,0,21,6,4,1,0,0,3,0,0,1,1,1.5
1506,73575132,2017,Rakuten,5,0,0,0,3,3,0,0,0,18,4.2,3,0,1,0,6,0,0,2,2,3.86
1507,73575132,2018,Rakuten,40,5,3,0,6,11,0,0,0.625,167,41.2,26,5,21,0,38,0,0,9,8,1.73
1508,73575132,2019,Rakuten,48,3,2,0,24,27,0,0,0.6,186,45.1,34,2,23,0,40,1,0,14,11,2.18
1509,73575132,2020,Rakuten,38,1,2,0,10,11,0,0,0.333,162,36.1,35,7,17,1,29,2,0,29,28,6.94
1510,73575132,2021,Rakuten,63,3,3,7,24,27,0,0,0.5,246,60.2,46,2,23,2,49,1,0,18,15,2.23
1511,73575132,2022,Rakuten,54,4,2,0,20,24,0,0,0.667,209,51.2,45,5,15,0,38,2,0,18,15,2.61
1512,73575132,2023,Rakuten,49,2,1,0,16,18,0,0,0.667,188,46.2,41,5,11,0,35,3,0,16,15,2.89
1513,73575132,2024,Rakuten,41,1,2,0,17,18,0,0,0.333,164,39.2,41,3,7,2,22,1,0,15,14,3.18
1514,61965136,2018,Chunichi,53,4,6,4,12,16,0,0,0.4,219,49,46,7,27,1,42,1,0,28,24,4.41
1515,61965136,2019,Chunichi,25,0,2,14,1,1,0,0,0,117,25,29,1,15,2,16,0,0,12,12,4.32
1516,61965136,2020,Chunichi,6,0,0,0,0,0,0,0,0,44,7.2,14,2,6,0,4,0,0,12,11,12.91
1517,61965136,2021,Chunichi,18,2,0,0,0,2,0,0,1,91,20.1,22,2,5,2,11,0,1,12,12,5.31
1518,61965136,2022,Chunichi,3,0,1,0,1,1,0,0,0,55,13,11,0,5,1,9,0,0,6,6,4.15
1519,61965136,2023,Chunichi,9,1,2,0,1,1,0,0,0.333,106,24.1,23,1,12,2,5,0,0,12,11,4.07
1520,61965136,2024,ORIX,32,1,1,0,9,10,0,0,0.5,166,39.1,40,4,14,2,32,0,0,14,13,2.97
1521,61965136,2025,ORIX,12,0,0,0,4,4,0,0,0,45,10,11,1,5,0,4,0,0,5,5,4.5
1522,61065151,2020,Nippon-Ham,11,0,1,0,0,0,0,0,0,55,11.1,15,0,7,0,11,0,0,10,10,7.94
1523,61065151,2021,Nippon-Ham,21,0,0,0,0,0,0,0,0,84,19.1,17,1,7,3,11,0,0,10,9,4.19
1524,61065151,2022,Nippon-Ham,19,2,1,0,3,4,0,0,0.667,159,38,33,2,13,4,25,1,0,12,12,2.84
1525,61065151,2023,Nippon-Ham,24,6,4,0,1,2,0,0,0.6,273,65,59,3,21,3,23,0,0,24,19,2.63
1526,61065151,2024,Nippon-Ham,8,1,2,0,1,1,0,0,0.333,90,23,17,3,7,1,6,0,0,7,7,2.74
1527,61065151,2025,Hiroshima,13,2,0,0,0,2,0,0,1,65,15.1,12,1,6,2,7,0,1,6,5,2.93
1528,51755136,2018,ORIX,4,0,0,0,0,0,0,0,0,42,7.1,11,3,9,0,2,0,0,9,7,8.59
1529,51755136,2019,ORIX,19,4,6,0,0,0,0,0,0.4,451,102.1,100,15,49,3,88,4,0,56,49,4.31
1530,51755136,2020,ORIX,8,0,2,0,1,1,0,0,0,78,13.2,23,4,14,1,10,0,0,17,16,10.54
1531,51755136,2021,ORIX,34,1,0,2,2,3,0,0,1,164,38.2,34,2,14,1,28,3,0,15,13,3.03
1532,51755136,2022,ORIX,14,0,1,0,2,2,0,0,0,51,12,12,3,3,0,13,2,0,9,9,6.75
1533,51755136,2023,Yomiuri,33,1,1,0,13,14,0,0,0.5,123,27.1,24,6,14,3,26,5,1,20,20,6.59
1534,71275153,2021,Lotte,23,1,4,0,1,1,0,0,0.2,341,79.1,78,10,28,2,76,2,0,38,36,4.08
1535,71275153,2022,Lotte,6,1,3,0,0,0,0,0,0.25,65,12.1,22,1,9,0,5,0,0,10,10,7.3
1536,71275153,2023,Lotte,13,0,0,0,0,0,0,0,0,67,16.1,12,2,7,0,13,0,0,8,5,2.76
1537,71275153,2024,Lotte,51,2,2,5,27,29,0,0,0.5,194,49.1,32,2,18,1,42,1,0,7,4,0.73
1538,71275153,2025,Lotte,15,0,1,4,5,5,0,0,0,63,14.2,17,1,2,1,16,1,0,6,6,3.68
1539,1905138,2020,Rakuten,2,0,0,0,0,0,0,0,0,8,1.1,2,1,1,2,1,0,0,2,2,13.5
1540,1905138,2021,Rakuten,5,0,0,0,0,0,0,0,0,19,4.1,3,0,4,0,5,1,0,0,0,0
1541,1905138,2022,Rakuten,38,1,3,0,7,8,0,0,0.25,162,38,25,2,25,2,35,2,1,17,17,4.03
1542,1905138,2023,Rakuten,61,1,1,1,22,23,0,0,0.5,195,43.2,37,5,25,3,47,4,0,18,16,3.3
1543,1905138,2024,Rakuten,49,2,0,1,24,26,0,0,1,186,48.2,24,0,21,1,48,3,1,9,9,1.66
1544,1905138,2025,Rakuten,20,0,2,4,9,9,0,0,0,73,18.1,9,0,9,0,22,1,0,5,5,2.45
1545,41945139,2015,Yomiuri,13,3,5,0,0,0,0,0,0.375,274,66.1,54,5,26,3,64,2,1,26,20,2.71
1546,41945139,2016,Yomiuri,26,10,10,0,0,0,2,1,0.5,668,162,150,15,49,6,126,1,0,54,49,2.72
1547,41945139,2017,Yomiuri,26,13,4,0,0,0,3,2,0.765,709,170.2,159,14,49,4,122,1,0,59,57,3.01
1548,41945139,2018,Yomiuri,16,2,8,0,0,0,1,0,0.2,396,86.1,113,13,27,6,60,1,0,52,46,4.8
1549,41945139,2019,Yomiuri,55,3,3,1,14,17,0,0,0.5,276,65.1,59,11,18,2,66,2,0,30,30,4.13
1550,41945139,2020,Yomiuri,26,5,7,1,2,2,0,0,0.417,379,89.1,91,10,26,5,58,2,0,48,46,4.63
1551,41945139,2021,Yakult,33,5,9,0,4,5,0,0,0.357,449,100.2,126,10,28,2,81,1,0,59,45,4.02
1552,41945139,2022,Yakult,45,1,1,2,18,19,0,0,0.5,143,36,30,0,8,3,31,1,0,7,5,1.25
1553,41945139,2023,Yakult,50,3,5,33,6,9,0,0,0.375,193,48.1,39,2,13,0,55,1,0,11,10,1.86
1554,41945139,2024,Yakult,41,1,4,7,13,14,0,0,0.2,139,33.2,34,2,9,1,22,2,0,14,11,2.94
1555,41945139,2025,Yakult,18,1,1,0,5,6,0,0,0.5,70,14.2,17,0,6,2,13,1,0,9,9,5.52
1556,31035136,2019,Seibu,26,2,1,1,6,8,0,0,0.667,111,24,29,2,9,3,23,3,0,13,9,3.38
1557,31035136,2020,Seibu,54,1,0,1,33,34,0,0,1,214,53,22,2,29,8,62,5,0,11,11,1.87
1558,31035136,2021,Seibu,62,3,4,20,21,24,0,0,0.429,247,60,36,0,28,5,70,3,0,6,6,0.9
1559,31035136,2022,Seibu,61,1,3,9,34,35,0,0,0.25,226,57.2,36,2,18,2,75,3,0,15,10,1.56
1560,31035136,2023,Seibu,23,11,7,0,0,0,0,0,0.611,611,150,115,10,55,5,153,0,0,47,40,2.4
1561,31035136,2024,Seibu,22,3,2,0,9,11,0,0,0.6,208,48.2,44,1,21,5,43,1,0,11,9,1.66
1562,31035136,2025,Seibu,19,0,1,12,3,3,0,0,0,81,18.1,16,0,8,2,18,2,0,6,4,1.96
1563,1905139,2016,Yomiuri,1,0,1,0,0,0,0,0,0,18,3.2,4,1,3,0,4,0,0,4,4,9.82
1564,1905139,2017,DeNA,4,1,3,0,0,0,0,0,0.25,71,14,21,4,9,1,6,0,0,16,11,7.07
1565,1905139,2018,DeNA,13,5,3,0,0,0,0,0,0.625,284,67,65,9,29,0,53,2,0,29,26,3.49
1566,1905139,2019,DeNA,15,5,6,0,0,0,0,0,0.455,289,70,68,9,17,0,55,0,1,34,32,4.11
1567,1905139,2020,DeNA,14,4,6,0,0,0,1,0,0.4,335,83.1,75,3,17,2,65,0,0,24,21,2.27
