SearchID,Year,League,Team,Role,G,GS,CG,SHO,W,L,SV,HLD,HP,IP,BF,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,K%,BB%,HR%,BABIP,LOB%,WL%,ERA,RA-,FIP-,RA9-WAR,WAR
100175,1949,JBL,Osaka,UC,1,1,0,0,0,1,,,,1,9,5,0,1,,0,0,0,0,5,5,0,0.111,0,0.625,0.167,0,45,930,100,-0.3,0
100176,1942,JBL,Hankyu,UC,10,9,1,1,2,1,,,,39.7,177,37,0,25,,0,5,0,0,23,18,0.028,0.141,0,0.262,0.629,0.667,4.08,207,131,-1.2,-0.1
100176,1941,JBL,Hankyu,UC,14,13,4,4,6,1,,,,77.3,307,48,0,35,,0,26,0,0,17,9,0.085,0.114,0,0.198,0.795,0.857,1.05,77,87,1.5,1.3
100176,1940,JBL,Hankyu,UC,3,3,0,0,1,0,,,,9.7,39,6,0,5,,0,3,0,1,2,2,0.077,0.128,0,0.194,0.818,1,1.86,61,106,0.3,0.1
100176,1937.1S,JBL,Osaka,UC,1,0,0,0,0,0,,,,2,11,1,0,4,,0,2,0,0,2,0,0.182,0.364,0,0.2,0.6,,0,213,174,-0.1,0
100177,1937.1S,JBL,Nagoya,UC,7,3,1,0,1,4,,,,31.7,147,36,0,20,,0,5,1,0,25,22,0.034,0.136,0,0.295,0.554,0.2,6.25,168,113,-0.7,0.2
100177,1939,JBL,Nagoya,UC,17,8,5,1,3,6,,,,101.3,440,89,4,58,,4,23,0,0,47,35,0.052,0.132,0.009,0.245,0.715,0.333,3.11,117,127,0.2,-0.1
100177,1940,JBL,Nagoya,UC,9,1,0,0,1,1,,,,35,161,32,0,20,,1,15,0,0,18,14,0.093,0.124,0,0.258,0.66,0.5,3.6,151,102,-0.4,0.4
100180,1937.1S,JBL,Korakuen,UC,11,10,6,0,2,6,,,,79.3,378,92,1,48,,2,31,1,0,48,35,0.082,0.127,0.003,0.315,0.669,0.25,3.97,129,106,-0.3,0.7
100180,1937.2F,JBL,Korakuen,UC,12,5,3,0,3,2,,,,54.7,237,46,0,37,,0,20,0,0,27,21,0.084,0.156,0,0.263,0.675,0.6,3.46,99,103,0.6,0.5
100182,1946,JBL,Hankyu,UC,18,10,4,0,6,3,,,,101,416,92,6,34,,3,27,0,0,42,33,0.065,0.082,0.014,0.25,0.721,0.667,2.94,85,105,1.9,0.9
100182,1948,JBL,Osaka,UC,8,0,0,0,0,0,,,,16.3,84,27,1,8,,0,3,0,0,19,13,0.036,0.095,0.012,0.366,0.476,,7.16,297,121,-1.1,0
100182,1947,JBL,Hankyu,UC,7,3,0,0,0,2,,,,17,73,12,1,8,,2,2,0,0,10,9,0.027,0.11,0.014,0.186,0.583,0,4.76,163,146,-0.3,-0.2
100182,1943,JBL,Hankyu,UC,22,19,12,2,5,10,,,,158,637,125,4,45,,1,41,2,0,56,39,0.064,0.071,0.006,0.225,0.695,0.333,2.22,123,92,0.1,2.4
100182,1937.1S,JBL,Hankyu,UC,14,8,3,0,5,2,,,,63.3,268,49,0,30,,2,20,1,0,28,16,0.075,0.112,0,0.233,0.654,0.714,2.27,94,100,0.8,0.7
