playerstatsID,playerID,yearID,lgID,teamID,stint,AL_indicator,CL_indicator,KBO_indicator,NL_indicator,PL_indicator,transition_indicator,statType,stat,value
1766657,MLB_skinnal01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,1,Batting,11,0.0
1766658,MLB_skinnal01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,1,Batting,11,0.0
1766729,MLB_sladear01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,1,Batting,11,0.0
1766796,MLB_slattmi01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,1,Batting,11,4.0
1766987,MLB_smith01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,1,Batting,11,0.0
1767282,MLB_smithed05_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,1,Batting,11,2.0
1767342,MLB_smithge01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,11,1.0
1768158,MLB_snydere01_NPB__KBO_,1884,UA,WIL,1,0,0,0,0,0,2,Batting,11,1.0
1769600,MLB_stanljo01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,1,Batting,11,0.0
1770999,MLB_straujo02_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,11,1.0
1771125,MLB_striege01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,3,Batting,11,4.0
1771126,MLB_striege01_NPB__KBO_,1884,UA,CHU,3,0,0,0,0,0,3,Batting,11,3.0
1771470,MLB_suckto01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,2,Batting,11,13.0
1771471,MLB_suckto01_NPB__KBO_,1884,UA,BLU,2,0,0,0,0,0,2,Batting,11,0.0
1771715,MLB_sullipa01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,11,4.0
1771734,MLB_sullisl01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,3,Batting,11,0.0
