playerId,Season,TeamKor,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
54795,2025,Hanwha,2B,46,37,339 1/3,3,0,58,109,14,0.982,0,0,0,-
78288,2025,Hanwha,C,44,38,285,2,0,300,24,2,0.994,4,17,7,29.2
66657,2025,Hanwha,OF,37,35,264,0,0,46,1,0,1,0,0,0,-
64006,2025,Hanwha,SS,33,32,261 1/3,3,0,50,88,14,0.979,0,0,0,-
67703,2025,Hanwha,P,29,0,26 2/3,0,0,3,3,0,1,0,0,0,-
53754,2025,Hanwha,P,28,0,27,0,0,0,6,0,1,0,0,0,-
61666,2025,Hanwha,P,27,0,25,0,0,1,5,0,1,0,0,0,-
66704,2025,Hanwha,OF,26,23,169 1/3,1,0,28,1,0,0.967,0,0,0,-
63765,2025,Hanwha,P,25,0,22,0,0,1,3,1,1,0,0,0,-
55743,2025,Hanwha,P,24,0,21 1/3,0,0,0,0,0,-,0,0,0,-
54768,2025,Hanwha,P,24,0,20 2/3,0,0,0,3,2,1,0,0,0,-
65769,2025,Hanwha,P,23,0,12 1/3,0,0,1,1,0,1,0,0,0,-
65703,2025,Hanwha,2B,21,13,114 2/3,0,0,20,33,6,1,0,0,0,-
68700,2025,Hanwha,OF,21,4,74 1/3,0,0,16,1,0,1,0,0,0,-
53764,2025,Hanwha,OF,19,18,147,0,0,24,0,0,1,0,0,0,-
62700,2025,Hanwha,SS,19,16,142 2/3,0,0,19,40,7,1,0,0,0,-
68700,2025,Hanwha,OF,18,1,47 1/3,1,0,14,0,0,0.933,0,0,0,-
65703,2025,Hanwha,SS,15,7,86,2,0,12,22,1,0.944,0,0,0,-
66704,2025,Hanwha,1B,14,7,75,0,0,60,7,4,1,0,0,0,-
50704,2025,Hanwha,OF,13,10,86 1/3,1,0,16,0,0,0.941,0,0,0,-
54755,2025,Hanwha,P,12,12,75 1/3,0,0,0,8,0,1,0,0,0,-
55730,2025,Hanwha,P,12,12,79,0,0,2,8,0,1,0,0,0,-
76715,2025,Hanwha,P,11,11,60 1/3,0,0,1,8,0,1,0,0,0,-
65707,2025,Hanwha,P,11,0,11,0,0,0,1,0,1,0,0,0,-
50707,2025,Hanwha,OF,11,7,60 1/3,0,0,8,0,0,1,0,0,0,-
66704,2025,Hanwha,OF,10,5,47 2/3,0,0,13,1,0,1,0,0,0,-
52701,2025,Hanwha,P,10,10,51 1/3,0,0,3,8,0,1,0,0,0,-
60768,2025,Hanwha,P,9,0,7 2/3,0,0,0,2,0,1,0,0,0,-
65056,2025,Hanwha,P,8,8,32 1/3,1,0,0,2,0,0.667,0,0,0,-
66657,2025,Hanwha,OF,7,5,52,0,0,14,1,0,1,0,0,0,-
52704,2025,Hanwha,OF,6,0,10,0,0,2,0,0,1,0,0,0,-
55764,2025,Hanwha,P,5,0,5 1/3,0,0,0,1,0,1,0,0,0,-
79608,2025,Hanwha,2B,5,5,35,1,0,5,15,2,0.952,0,0,0,-
52704,2025,Hanwha,OF,5,0,12 2/3,0,0,2,0,0,1,0,0,0,-
53764,2025,Hanwha,OF,4,1,14,0,0,3,1,0,1,0,0,0,-
65703,2025,Hanwha,1B,4,0,5,0,0,7,0,0,1,0,0,0,-
52769,2025,Hanwha,1B,3,0,6 1/3,0,0,8,0,0,1,0,0,0,-
