teamID,team_fullName,currentTeam
KIA,KIA Tigers,KIA Tigers
KT,KT Wiz,KT Wiz
KIWOOM,Kiwoom Heroes,Kiwoom Heroes
LG,LG Twins,LG Twins
LOTTE,Lotte Giants,Lotte Giants
MBC,MBC Chungyong,LG Twins
NC,NC Dinos,NC Dinos
NEXEN,Nexen Heroes,Kiwoom Heroes
OB,OB Bears,Doosan Bears
PACIFIC,Pacific Dolphins,
SBW,SBW Raiders,
SK,SK Wyverns,SSG Landers
SSG,SSG Landers,SSG Landers
SAMMI,Sammi Superstars,
SAMSUNG,Samsung Lions,Samsung Lions
WOORI,Woori Heroes,Kiwoom Heroes
BL2,Baltimore Orioles,
BL3,Baltimore Orioles,
BR3,Brooklyn Bridegrooms,
BR4,Brooklyn Gladiators,
BS2,Boston Reds,
CL3,Cleveland Blues,
CL5,Columbus Buckeyes,
CL6,Columbus Solons,
CN2,Cincinnati Red Stockings,
CN3,Cincinnati Kelly's Killers,
IN2,Indianapolis Hoosiers,
KC2,Kansas City Cowboys,
LS2,Louisville Colonels,
ML3,Milwaukee Brewers,
NY4,New York Metropolitans,
PH4,Philadelphia Athletics,
PT1,Pittsburg Alleghenys,
RC2,Rochester Broncos,
RIC,Richmond Virginians,
SL4,St. Louis Browns,
SR2,Syracuse Stars,
TL1,Toledo Blue Stockings,
TL2,Toledo Maumees,
WS7,Washington Nationals,
WS9,Washington Statesmen,
BLF,Baltimore Terrapins,
BRF,Brooklyn Tip-Tops,
BUF,Buffalo Bisons,
CHF,Chicago Whales,
IND,Indianapolis Hoosiers,
KCF,Kansas City Packers,
NEW,Newark Pepper,
PTF,Pittsburgh Rebels,
SLF,St. Louis Terriers,
ALT,Altoona Mountain City,
BLU,Baltimore Monumentals,
BSU,Boston Reds,
CHU,Chunichi Dragons,
CNU,Cincinnati Outlaw Reds,
KCU,Kansas City Cowboys,
MLU,Milwaukee Brewers,
PHU,Philadelphia Keystones,
SLU,St. Louis Maroons,
SPU,St. Paul White Caps,
WIL,Wilmington Quicksteps,
WSU,Washington Nationals,
ASAHI,Asahi Baseball Club,
CHUBU NIPPON,Chubu Nippon,
DAI TOKYO,Dai Tokyo,
EAGLES,Eagles,
GOLD STAR,Kinsei Stars,
KINKI,Kinki Great Ring,
KINKI NIPPON,Kinki Nippon Club,
KINKO,Nagoya Kinko,
KINSEI,Kinsei Stars,
KORAKUEN,Korakuen Eagles,
KUROWASHI,Kurowashi,
KYOJIN,Tokyo Kyojin,
KYUEI,Kyuei Flyers,
LION,Lion Baseball Club ,
PACIFIC2,Pacific Baseball Club,
SANGYO,Sangyo Baseball Club,
SENATORS,Tokyo Senators,
TSUBASA,Tsubasa Baseball Club,
YAMATO,Yamato Baseball Club,
BFP,Buffalo Bisons,
BRP,Brooklyn Ward's Wonders,
BSP,Boston Reds,
CHP,Chicago Pirates,
CLP,Cleveland Infants,
NYP,New York Metropolitans,
PHP,Philadelphia Athletics,
PTP,Pittsburgh Burghers,
