Player ID,Year,League,Team,Role,G,W,L,SV,HLD,HP,CG,SHO,WL%,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA,stint
41645132,2023,,CHUNICHI,,29,1,0,0,12,13,0,0,1,76,17.2,12,1,8,1,15,0,0,8,5,2.55,1
41645132,2024,,CHUNICHI,,13,0,0,0,0,0,0,0,0,46,11.2,4,0,8,0,7,0,0,2,2,1.54,1
41645132,2025,,CHUNICHI,,3,0,0,0,0,0,0,0,0,12,3,2,0,2,0,2,0,0,0,0,0,1
41645151,2023,,ORIX,,2,0,0,0,0,0,0,0,0,8,2,1,0,1,0,2,0,0,0,0,0,1
41645151,2024,,ORIX,,4,0,0,0,0,0,0,0,0,25,5,8,1,2,0,5,0,0,5,4,7.2,1
41645153,2022,,NIPPON-HAM,,13,3,3,0,1,1,0,0,0.5,254,60.2,52,8,24,4,53,1,0,19,17,2.52,1
41645153,2023,,NIPPON-HAM,,5,3,1,0,0,0,0,0,0.75,105,25,12,2,14,3,23,0,0,8,8,2.88,1
41645153,2024,,NIPPON-HAM,,2,0,0,0,0,0,0,0,0,29,4.1,7,0,7,1,4,1,0,8,7,14.54,1
41645155,2022,,LOTTE,,30,0,1,0,2,2,0,0,0,171,36.2,48,5,15,2,29,2,0,25,20,4.91,1
41645155,2023,,LOTTE,,8,1,1,0,0,1,0,0,0.5,50,11,14,1,5,0,11,0,0,7,7,5.73,1
41645155,2024,,LOTTE,,8,0,0,1,2,2,0,0,0,47,11.1,13,0,0,0,9,2,0,5,4,3.18,1
41645155,2025,,LOTTE,,3,0,0,0,0,0,0,0,0,19,3,5,0,5,0,3,0,0,3,3,9,1
41745134,2017,,HANSHIN,,2,0,0,0,1,1,0,0,0,13,2.2,2,0,3,0,3,0,0,0,0,0,1
41745134,2018,,HANSHIN,,22,6,10,0,1,2,0,0,0.375,368,82,81,12,38,5,85,5,0,46,42,4.61,1
41745134,2019,,HANSHIN,,3,2,1,0,0,0,0,0,0.667,70,15.1,20,0,5,0,14,0,0,8,8,4.7,1
41745134,2022,,HANSHIN,,9,4,1,0,0,0,1,1,0.8,186,47,40,4,11,0,43,0,0,10,8,1.53,1
41745134,2023,,HANSHIN,,19,8,5,0,1,1,1,1,0.615,473,118.2,88,8,36,2,107,3,0,29,24,1.82,1
41745134,2024,,HANSHIN,,25,13,3,0,0,0,4,3,0.813,671,167.2,140,4,38,0,137,4,0,35,34,1.83,1
41745134,2025,,HANSHIN,,9,4,3,0,0,0,1,1,0.571,251,60.2,44,2,26,0,48,0,0,12,12,1.78,1
41745138,2019,,YAKULT,,19,0,0,0,3,3,0,0,0,104,21.2,22,2,16,2,15,2,0,15,14,5.82,1
41745138,2020,,YAKULT,,1,0,0,0,0,0,0,0,0,19,3,5,1,4,1,3,0,0,6,4,12,1
41745138,2021,,YAKULT,,36,1,2,0,7,8,0,0,0.333,148,33.1,29,4,17,3,25,2,0,17,15,4.05,1
41745138,2022,,LOTTE,,7,0,0,0,1,1,0,0,0,34,8.2,9,3,1,0,6,0,0,4,4,4.15,1
41745138,2022,,YAKULT,,7,0,1,0,0,0,0,0,0,59,10.2,15,4,9,1,11,2,0,14,11,9.28,2
41745138,2023,,LOTTE,,51,1,0,0,16,17,0,0,1,209,47.2,46,5,22,2,48,2,0,18,17,3.21,1
41745138,2024,,LOTTE,,37,1,2,0,11,12,0,0,0.333,146,33,34,3,12,5,34,2,0,22,21,5.73,1
41745138,2025,,LOTTE,,3,0,0,0,1,1,0,0,0,8,2.2,0,0,0,0,1,0,0,0,0,0,1
41745150,2025,,HANSHIN,,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,1,1,9,1
41745153,2024,,ORIX,,8,0,1,0,0,0,0,0,0,51,10.1,11,0,7,1,3,0,0,5,4,3.48,1
41745153,2025,,ORIX,,15,0,0,0,3,3,0,0,0,80,18.1,17,0,6,2,13,1,0,7,7,3.44,1
41745155,2022,,HIROSHIMA,,12,0,0,0,1,1,0,0,0,44,9.2,11,0,4,1,11,0,1,7,7,6.52,1
41745155,2023,,HIROSHIMA,,5,0,1,0,0,0,0,0,0,69,12.2,21,1,10,0,13,2,0,15,15,10.66,1
41745155,2024,,HIROSHIMA,,53,4,3,0,3,7,0,0,0.571,244,59.2,40,2,20,3,67,0,0,15,14,2.11,1
41745157,2023,,ORIX,,1,0,0,0,0,0,0,0,0,17,4,2,0,2,2,3,0,0,0,0,0,1
41745157,2024,,ORIX,,8,2,3,0,0,0,0,0,0.4,165,37.2,29,2,19,2,28,1,0,20,17,4.06,1
41745159,2024,,ORIX,,50,2,1,0,24,26,0,0,0.667,179,45.2,30,2,17,1,43,1,0,6,4,0.79,1
41745159,2025,,ORIX,,15,2,1,0,5,7,0,0,0.667,66,14.1,17,1,6,1,12,0,0,6,6,3.77,1
41845130,2015,,DENA,,58,2,4,37,7,9,0,0,0.333,215,56.1,38,2,11,1,66,4,1,13,12,1.92,1
41845130,2016,,DENA,,59,2,5,33,7,9,0,0,0.286,252,57.2,57,7,23,0,61,2,0,27,23,3.59,1
41845130,2017,,DENA,,68,4,2,26,15,19,0,0,0.667,260,65.2,52,3,13,1,84,1,0,16,12,1.64,1
41845130,2018,,DENA,,57,2,4,37,3,5,0,0,0.333,226,56.1,40,5,18,1,63,1,0,18,17,2.72,1
41845130,2019,,DENA,,61,3,2,30,4,7,0,0,0.6,243,60,44,6,19,0,54,0,0,18,13,1.95,1
41845130,2020,,DENA,,40,0,3,6,8,8,0,0,0,176,38,52,4,14,0,31,1,0,26,24,5.68,1
41845130,2021,,DENA,,60,3,2,1,27,30,0,0,0.6,229,55,58,2,14,3,39,0,0,21,20,3.27,1
41845130,2022,,DENA,,56,0,2,37,3,3,0,0,0,197,54.1,29,4,9,0,42,1,0,9,8,1.33,1
41845130,2023,,DENA,,49,3,7,20,8,11,0,0,0.3,189,45.1,48,7,8,1,54,1,0,22,22,4.37,1
41845130,2024,,DENA,,38,3,5,4,11,14,0,0,0.375,163,37.2,35,4,11,3,29,1,1,18,14,3.35,1
41845130,2025,,DENA,,13,0,3,1,1,1,0,0,0,46,11,10,2,4,0,8,0,0,5,5,4.09,1
41845138,2021,,HANSHIN,,3,0,0,0,0,0,0,0,0,21,3,10,0,2,0,2,2,0,7,6,18,1
41845138,2022,,HANSHIN,,59,2,3,0,43,45,0,0,0.4,221,58,38,1,12,0,67,2,0,7,7,1.09,1
41845138,2023,,HANSHIN,,15,0,2,8,3,3,0,0,0,67,14.1,15,3,8,0,15,0,0,8,7,4.4,1
41845138,2025,,HANSHIN,,14,2,0,0,7,9,0,0,1,52,13.2,7,0,6,0,11,1,0,0,0,0,1
41845151,2020,,ORIX,,4,0,1,0,0,0,0,0,0,39,8,6,2,10,0,5,0,0,8,8,9,1
41845151,2021,,ORIX,,18,1,0,1,5,6,0,0,1,62,12,15,1,9,2,7,0,0,7,5,3.75,1
41845151,2022,,ORIX,,22,1,1,0,8,9,0,0,0.5,113,24.1,23,4,17,1,27,1,0,13,12,4.44,1
41845151,2023,,ORIX,,7,0,1,0,0,0,0,0,0,52,11.2,11,1,5,1,6,0,0,8,8,6.17,1
41845151,2024,,ORIX,,1,0,0,0,0,0,0,0,0,6,1,1,1,2,0,0,0,0,1,1,9,1
41845157,2023,,SOFTBANK,,3,0,1,0,0,0,0,0,0,31,6.1,8,0,3,1,4,0,0,5,5,7.11,1
41845157,2024,,SOFTBANK,,5,2,1,0,0,0,0,0,0.667,63,16,12,1,4,1,17,0,0,5,5,2.81,1
41845157,2025,,SOFTBANK,,14,1,1,0,1,2,0,0,0.5,105,25,20,0,9,3,24,2,0,4,4,1.44,1
41945138,2024,,RAKUTEN,,3,0,0,0,0,0,0,0,0,16,3,4,0,3,0,1,1,0,4,4,12,1
41945139,2015,,YOMIURI,,13,3,5,0,0,0,0,0,0.375,274,66.1,54,5,26,3,64,2,1,26,20,2.71,1
41945139,2016,,YOMIURI,,26,10,10,0,0,0,2,1,0.5,668,162,150,15,49,6,126,1,0,54,49,2.72,1
41945139,2017,,YOMIURI,,26,13,4,0,0,0,3,2,0.765,709,170.2,159,14,49,4,122,1,0,59,57,3.01,1
41945139,2018,,YOMIURI,,16,2,8,0,0,0,1,0,0.2,396,86.1,113,13,27,6,60,1,0,52,46,4.8,1
41945139,2019,,YOMIURI,,55,3,3,1,14,17,0,0,0.5,276,65.1,59,11,18,2,66,2,0,30,30,4.13,1
41945139,2020,,YOMIURI,,26,5,7,1,2,2,0,0,0.417,379,89.1,91,10,26,5,58,2,0,48,46,4.63,1
41945139,2021,,YAKULT,,33,5,9,0,4,5,0,0,0.357,449,100.2,126,10,28,2,81,1,0,59,45,4.02,1
41945139,2022,,YAKULT,,45,1,1,2,18,19,0,0,0.5,143,36,30,0,8,3,31,1,0,7,5,1.25,1
41945139,2023,,YAKULT,,50,3,5,33,6,9,0,0,0.375,193,48.1,39,2,13,0,55,1,0,11,10,1.86,1
