Player ID,Year,League,Team,Pos,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,HP,SO,GDP,AVG,SLG,OBP,Stint
1005134,2018,,Hiroshima,,6,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,1
1005134,2021,,Hiroshima,,15,25,22,1,3,0,0,0,3,1,0,0,3,0,0,0,12,2,0.136,0.136,0.136,1
1005134,2024,,Hiroshima,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005134,2025,,Hiroshima,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1005135,2012,,SoftBank,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005135,2013,,SoftBank,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005135,2014,,SoftBank,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005135,2015,,SoftBank,,25,6,5,0,1,0,0,0,1,1,0,0,1,0,0,0,3,0,0.2,0.2,0.2,1
1005135,2016,,SoftBank,,27,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1
1005135,2017,,SoftBank,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005135,2018,,SoftBank,,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1005135,2019,,SoftBank,,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005135,2020,,SoftBank,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005135,2021,,SoftBank,,12,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.25,0.25,0.25,1
1005135,2022,,SoftBank,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005135,2023,,SoftBank,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005136,2018,,SoftBank,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005136,2019,,SoftBank,,23,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25,1
1005136,2020,,SoftBank,,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005136,2021,,SoftBank,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005136,2022,,SoftBank,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005136,2023,,SoftBank,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005136,2024,,Yomiuri,,11,13,13,1,2,0,0,0,2,0,0,0,0,0,0,0,5,0,0.154,0.154,0.154,1
1005137,2013,,SoftBank,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005137,2014,,SoftBank,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005137,2015,,SoftBank,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005137,2016,,SoftBank,,23,7,3,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0.4,1
1005137,2017,,SoftBank,,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
1005137,2018,,SoftBank,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005137,2019,,SoftBank,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005137,2020,,SoftBank,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005137,2021,,SoftBank,,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
1005137,2022,,SoftBank,,23,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1
